央视频道,#genre#
嘉峪关公共,rtsp://60.13.39.18/PLTV/88888910/224/3221225606/10000100000000060000000000789666_0.smil
天水综合频道,rtsp://60.13.39.18/PLTV/88888910/224/3221225866/376769060.smil
天水公共频道,rtsp://60.13.39.18/PLTV/88888910/224/3221225596/10000100000000060000000000286112_0.smil
玉门电视台,rtsp://60.13.39.18/PLTV/88888910/224/3221225863/376559685.smil
天水综合,rtsp://60.13.39.18/PLTV/88888910/224/3221225866/376769060.smil
天水文旅,rtsp://60.13.39.18/PLTV/88888910/224/3221225869/376769059.smil
陇尚生活,rtsp://60.13.39.18/PLTV/88888910/224/3221225597/10000100000000060000000000286113_0.smil

其他频道,#genre#

金鹰卡通,rtsp://60.13.39.18/PLTV/88888910/224/3221225564/10000100000000060000000000107344_0.smil
卡酷少儿,rtsp://60.13.39.18/PLTV/88888910/224/3221225565/10000100000000060000000000107345_0.smil
纪实人文HD,rtsp://60.13.39.18/PLTV/88888910/224/3221225523/10000100000000060000000000107303_0.smil
热播剧场,rtsp://60.13.39.18/PLTV/88888910/224/3221225522/10000100000000060000000000107302_0.smil
IPTV谍战剧场rtsp://60.13.39.18/PLTV/88888910/224/3221225520/10000100000000060000000000107300_0.smil
IPTV野外,rtsp://60.13.39.18/PLTV/88888910/224/3221225519/10000100000000060000000000107299_0.smil
IPTV法治,rtsp://60.13.39.18/PLTV/88888910/224/3221225518/10000100000000060000000000107298_0.smil
IPTV相声小品,rtsp://60.13.39.18/PLTV/88888910/224/3221225517/10000100000000060000000000107297_0.smil
解密,rtsp://60.13.39.18/PLTV/88888910/224/3221225516/10000100000000060000000000107296_0.smil
军事,rtsp://60.13.39.18/PLTV/88888910/224/3221225515/10000100000000060000000000107295_0.smil
武侠剧场rtsp://60.13.39.18/PLTV/88888910/224/3221225514/10000100000000060000000000107294_0.smil
喜剧影院,rtsp://60.13.39.18/PLTV/88888910/224/3221225513/10000100000000060000000000107293_0.smil
动作影院,rtsp://60.13.39.18/PLTV/88888910/224/3221225512/10000100000000060000000000107292_0.smil
家庭影院,rtsp://60.13.39.18/PLTV/88888910/224/3221225511/10000100000000060000000000107291_0.smil
爱体育,rtsp://60.13.39.18/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱电影,rtsp://60.13.39.18/PLTV/88888910/224/3221225509/10000100000000060000000000107289_0.smil
爱大剧,rtsp://60.13.39.18/PLTV/88888910/224/3221225510/10000100000000060000000000107290_0.smil
爱综艺rtsp://60.13.39.18/PLTV/88888910/224/3221225507/10000100000000060000000000107287_0.smil
直播珠峰,rtsp://60.13.39.18/PLTV/88888910/224/3221225590/10000100000000060000000000268750_0.smil
